"BIBTEXKEY","TITLE","method_focus","sentence_length","full_sentence_with_ref","sentence","bib_reference"
"daust_adaptive_2009","Adaptive management framework for the central and north coast of british columbia adaptive management guidebook","General Methodology",118,"title: adaptive management framework for the central and north coast of british columbia adaptive management guidebook [@daust_adaptive_2009]","title: adaptive management framework for the central and north coast of british columbia adaptive management guidebook","[@daust_adaptive_2009]"
"ohagan_incorporation_2005","Incorporation of uncertainty in health economic modelling studies","General Methodology",72,"title: incorporation of uncertainty in health economic modelling studies [@ohagan_incorporation_2005]","title: incorporation of uncertainty in health economic modelling studies","[@ohagan_incorporation_2005]"
"morgan_development_2005","Development of a preliminary framework for informing the risk analysis and risk management of nanoparticles","General Methodology",114,"title: development of a preliminary framework for informing the risk analysis and risk management of nanoparticles [@morgan_development_2005]","title: development of a preliminary framework for informing the risk analysis and risk management of nanoparticles","[@morgan_development_2005]"
"labiosa_modeling_2005","Modeling source/linkage analysis uncertainty using simulation and bayesian networks for a {Mercury} tmdl in northern california","Bayesian",156,"title: modeling source/linkage analysis uncertainty using simulation and bayesian networks for a {mercury} tmdl in northern california    keywords: bayesian [@labiosa_modeling_2005]","title: modeling source/linkage analysis uncertainty using simulation and bayesian networks for a {mercury} tmdl in northern california    keywords: bayesian","[@labiosa_modeling_2005]"
"wood_offset-based_2005","Offset-based decision support models for mitigating mercury sources in the cache creek watershed, north central california","General Methodology",129,"title: offset-based decision support models for mitigating mercury sources in the cache creek watershed, north central california [@wood_offset-based_2005]","title: offset-based decision support models for mitigating mercury sources in the cache creek watershed, north central california","[@wood_offset-based_2005]"
"brown_assessing_2006","Assessing uncertainty propagation through physically based models of soil water flow and solute transport","General Methodology",112,"title: assessing uncertainty propagation through physically based models of soil water flow and solute transport [@brown_assessing_2006]","title: assessing uncertainty propagation through physically based models of soil water flow and solute transport","[@brown_assessing_2006]"
"fischhoff_mental_2006","Mental models of warning decisions: identifying and addressing information needs","General Methodology",87,"title: mental models of warning decisions: identifying and addressing information needs [@fischhoff_mental_2006]","title: mental models of warning decisions: identifying and addressing information needs","[@fischhoff_mental_2006]"
"sun_modeling_2006","Modeling the impact of travel information on activity-travel decisions under uncertainty: heuristics and example","General Methodology",119,"title: modeling the impact of travel information on activity-travel decisions under uncertainty: heuristics and example [@sun_modeling_2006]","title: modeling the impact of travel information on activity-travel decisions under uncertainty: heuristics and example","[@sun_modeling_2006]"
"hansen_integrating_2005","Integrating seasonal climate prediction and agricultural models for insights into agricultural practice","General Methodology",110,"title: integrating seasonal climate prediction and agricultural models for insights into agricultural practice [@hansen_integrating_2005]","title: integrating seasonal climate prediction and agricultural models for insights into agricultural practice","[@hansen_integrating_2005]"
"sutton_bayesian_2005","A bayesian approach to evaluating net clinical benefit allowed for parameter uncertainty","Bayesian",169,"title: a bayesian approach to evaluating net clinical benefit allowed for parameter uncertainty    keywords: bayesian  annotation: export date: 05 may 2024; cited by: 44 [@sutton_bayesian_2005]","title: a bayesian approach to evaluating net clinical benefit allowed for parameter uncertainty    keywords: bayesian  annotation: export date: 05 may 2024; cited by: 44","[@sutton_bayesian_2005]"
"chick_subjective_2006","Subjective probability and bayesian methodology","Bayesian",76,"title: subjective probability and bayesian methodology    keywords: bayesian [@chick_subjective_2006]","title: subjective probability and bayesian methodology    keywords: bayesian","[@chick_subjective_2006]"
"kjaerulff_probabilistic_2006","Probabilistic networks for practitioners-a guide to construction and analysis of bayesian networks and influence diagrams","Bayesian",150,"title: probabilistic networks for practitioners-a guide to construction and analysis of bayesian networks and influence diagrams    keywords: bayesian [@kjaerulff_probabilistic_2006]","title: probabilistic networks for practitioners-a guide to construction and analysis of bayesian networks and influence diagrams    keywords: bayesian","[@kjaerulff_probabilistic_2006]"
"fenwick_iterative_2006","An iterative bayesian approach to health technology assessment: application to a policy of preoperative optimization for patients undergoing major elective surgery","Bayesian",288,"title: an iterative bayesian approach to health technology assessment: application to a policy of preoperative optimization for patients undergoing major elective surgery  abstract:   keywords: bayesian, bayesian decision analysis, evpi  annotation: export date: 05 may 2024; cited by: 47 [@fenwick_iterative_2006]","title: an iterative bayesian approach to health technology assessment: application to a policy of preoperative optimization for patients undergoing major elective surgery  abstract:   keywords: bayesian, bayesian decision analysis, evpi  annotation: export date: 05 may 2024; cited by: 47","[@fenwick_iterative_2006]"
"krause_optimal_2005","Optimal nonmyopic value of information in graphical models: efficient algorithms and theoretical limits","Decision Analysis",110,"title: optimal nonmyopic value of information in graphical models: efficient algorithms and theoretical limits [@krause_optimal_2005]","title: optimal nonmyopic value of information in graphical models: efficient algorithms and theoretical limits","[@krause_optimal_2005]"
"ades_multiparameter_2006","Multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches","General Methodology",376,"title: multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches  abstract: alongside the development of meta-analysis as a tool for summarizing research literature, there is renewed interest in broader forms of quantitative synthesis that are aimed at combining evidence from different study designs or evidence on multiple parameters. [@ades_multiparameter_2006]","title: multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches  abstract: alongside the development of meta-analysis as a tool for summarizing research literature, there is renewed interest in broader forms of quantitative synthesis that are aimed at combining evidence from different study designs or evidence on multiple parameters.","[@ades_multiparameter_2006]"
"ades_multiparameter_2006","Multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches","General Methodology",159,"these have been proposed under various headings: the confidence profile method, cross-design synthesis, hierarchical models and generalized evidence synthesis. [@ades_multiparameter_2006]","these have been proposed under various headings: the confidence profile method, cross-design synthesis, hierarchical models and generalized evidence synthesis.","[@ades_multiparameter_2006]"
"ades_multiparameter_2006","Multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches","General Methodology",142,"models that are used in health technology assessment are also referred to as representing a synthesis of evidence in a mathematical structure. [@ades_multiparameter_2006]","models that are used in health technology assessment are also referred to as representing a synthesis of evidence in a mathematical structure.","[@ades_multiparameter_2006]"
"ades_multiparameter_2006","Multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches","General Methodology",141,"here we review alternative approaches to statistical evidence synthesis, and their implications for epidemiology and medical decision-making. [@ades_multiparameter_2006]","here we review alternative approaches to statistical evidence synthesis, and their implications for epidemiology and medical decision-making.","[@ades_multiparameter_2006]"
"ades_multiparameter_2006","Multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches","General Methodology",162,"the methods include hierarchical models, models informed by evidence on different functions of several parameters and models incorporating both of these features. [@ades_multiparameter_2006]","the methods include hierarchical models, models informed by evidence on different functions of several parameters and models incorporating both of these features.","[@ades_multiparameter_2006]"
"ades_multiparameter_2006","Multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches","General Methodology",94,"the need to check for consistency of evidence when using these powerful methods is emphasized. [@ades_multiparameter_2006]","the need to check for consistency of evidence when using these powerful methods is emphasized.","[@ades_multiparameter_2006]"
"ades_multiparameter_2006","Multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches","Bayesian",273,"we develop a rationale for evidence synthesis that is based on bayesian decision modelling and expected value of information theory, which stresses not only the need for a lack of bias in estimates of treatment effects but also a lack of bias in assessments of uncertainty. [@ades_multiparameter_2006]","we develop a rationale for evidence synthesis that is based on bayesian decision modelling and expected value of information theory, which stresses not only the need for a lack of bias in estimates of treatment effects but also a lack of bias in assessments of uncertainty.","[@ades_multiparameter_2006]"
"ades_multiparameter_2006","Multiparameter evidence synthesis in epidemiology and medical decision-making: current approaches","General Methodology",167,"the increasing reliance of governmental bodies like the uk national institute for clinical excellence on complex evidence synthesis in decision modelling is discussed. [@ades_multiparameter_2006]","the increasing reliance of governmental bodies like the uk national institute for clinical excellence on complex evidence synthesis in decision modelling is discussed.","[@ades_multiparameter_2006]"
"miller_role_2005","Role of pharmacoeconomic analysis in {R}\&{D} decision making: when, where, how?","General Methodology",87,"title: role of pharmacoeconomic analysis in {r}\&{d} decision making: when, where, how? [@miller_role_2005]","title: role of pharmacoeconomic analysis in {r}\&{d} decision making: when, where, how?","[@miller_role_2005]"
"philips_good_2006","Good practice guidelines for decision-analytic modelling in health technology assessment: a review and consolidation of quality assessment","General Methodology",145,"title: good practice guidelines for decision-analytic modelling in health technology assessment: a review and consolidation of quality assessment [@philips_good_2006]","title: good practice guidelines for decision-analytic modelling in health technology assessment: a review and consolidation of quality assessment","[@philips_good_2006]"
"peterson_uncertainty_2006","Uncertainty and economic analysis of climate change: a survey of approaches and findings","General Methodology",95,"title: uncertainty and economic analysis of climate change: a survey of approaches and findings [@peterson_uncertainty_2006]","title: uncertainty and economic analysis of climate change: a survey of approaches and findings","[@peterson_uncertainty_2006]"
"garside_surveillance_2006","Surveillance of barrett's oesophagus: exploring the uncertainty through systematic review, expert workshop and economic modelling","General Methodology",192,"title: surveillance of barrett's oesophagus: exploring the uncertainty through systematic review, expert workshop and economic modelling      annotation: export date: 05 may 2024; cited by: 85 [@garside_surveillance_2006]","title: surveillance of barrett's oesophagus: exploring the uncertainty through systematic review, expert workshop and economic modelling      annotation: export date: 05 may 2024; cited by: 85","[@garside_surveillance_2006]"
"claxton_probabilistic_2005","Probabilistic sensitivity analysis for {NICE} technology assessment: not an optional extra","General Methodology",97,"title: probabilistic sensitivity analysis for {nice} technology assessment: not an optional extra [@claxton_probabilistic_2005]","title: probabilistic sensitivity analysis for {nice} technology assessment: not an optional extra","[@claxton_probabilistic_2005]"
"briggs_decision_2006","Decision modelling for health economic evaluation","General Methodology",56,"title: decision modelling for health economic evaluation [@briggs_decision_2006]","title: decision modelling for health economic evaluation","[@briggs_decision_2006]"
"willems_expert_2005","Expert quantification of uncertainties in a risk analysis for an infrastructure project","General Methodology",94,"title: expert quantification of uncertainties in a risk analysis for an infrastructure project [@willems_expert_2005]","title: expert quantification of uncertainties in a risk analysis for an infrastructure project","[@willems_expert_2005]"
"kim_risk_2006","Risk, uncertainty, and decision analysis applied to the management of aquatic nuisance species","General Methodology",101,"title: risk, uncertainty, and decision analysis applied to the management of aquatic nuisance species [@kim_risk_2006]","title: risk, uncertainty, and decision analysis applied to the management of aquatic nuisance species","[@kim_risk_2006]"
"tuomisto_economic_2005","An economic way of reducing health, environmental, and other pressures of urban traffic: a decision analysis on trip aggregation","General Methodology",135,"title: an economic way of reducing health, environmental, and other pressures of urban traffic: a decision analysis on trip aggregation [@tuomisto_economic_2005]","title: an economic way of reducing health, environmental, and other pressures of urban traffic: a decision analysis on trip aggregation","[@tuomisto_economic_2005]"
"poojari_decision_2006","A decision model for natural oil buying policy under uncertainty","General Methodology",71,"title: a decision model for natural oil buying policy under uncertainty [@poojari_decision_2006]","title: a decision model for natural oil buying policy under uncertainty","[@poojari_decision_2006]"
"townsend_prioritisation_2003","Prioritisation of health technology assessment. {The} {PATHS} model: methods and case studies","General Methodology",101,"{the} {paths} model: methods and case studies      annotation: export date: 05 may 2024; cited by: 20 [@townsend_prioritisation_2003]","{the} {paths} model: methods and case studies      annotation: export date: 05 may 2024; cited by: 20","[@townsend_prioritisation_2003]"
"bell_use_2003","The use of multi-criteria decision-making methods in the integrated assessment of climate change: implications for {IA} practitioners","General Methodology",174,"title: the use of multi-criteria decision-making methods in the integrated assessment of climate change: implications for {ia} practitioners    keywords: read cw  annotation: [@bell_use_2003]","title: the use of multi-criteria decision-making methods in the integrated assessment of climate change: implications for {ia} practitioners    keywords: read cw  annotation:","[@bell_use_2003]"
"norrman_bayesian_2004","On bayesian decision analysis for evaluating alternative actions at contaminated sites","Bayesian",143,"title: on bayesian decision analysis for evaluating alternative actions at contaminated sites    keywords: bayesian, bayesian decision analysis [@norrman_bayesian_2004]","title: on bayesian decision analysis for evaluating alternative actions at contaminated sites    keywords: bayesian, bayesian decision analysis","[@norrman_bayesian_2004]"
"nilsson_approaches_2004","Approaches to setting forestry research priorities: considering the benefits of reducing uncertainty","Bayesian",107,"title: approaches to setting forestry research priorities: considering the benefits of reducing uncertainty [@nilsson_approaches_2004]","title: approaches to setting forestry research priorities: considering the benefits of reducing uncertainty","[@nilsson_approaches_2004]"
"briggs_bayesian_2003","Bayesian approaches to assessing sustainability: are there lessons to be learned from approaches to health care evaluation?","Bayesian",130,"title: bayesian approaches to assessing sustainability: are there lessons to be learned from approaches to health care evaluation? [@briggs_bayesian_2003]","title: bayesian approaches to assessing sustainability: are there lessons to be learned from approaches to health care evaluation?","[@briggs_bayesian_2003]"
"cooper_bayesian_2003","A bayesian approach to markov modelling in cost-effectiveness analyses: application to taxane use in advanced breast cancer","Bayesian",152,"title: a bayesian approach to markov modelling in cost-effectiveness analyses: application to taxane use in advanced breast cancer    keywords: bayesian [@cooper_bayesian_2003]","title: a bayesian approach to markov modelling in cost-effectiveness analyses: application to taxane use in advanced breast cancer    keywords: bayesian","[@cooper_bayesian_2003]"
"madsen_applications_2004","Applications of probabilistic graphical models to diagnosis and control of autonomous vehicles","Bayesian",123,"title: applications of probabilistic graphical models to diagnosis and control of autonomous vehicles    keywords: bayesian [@madsen_applications_2004]","title: applications of probabilistic graphical models to diagnosis and control of autonomous vehicles    keywords: bayesian","[@madsen_applications_2004]"
"cooper_comprehensive_2004","Comprehensive decision analytical modelling in economic evaluation: a bayesian approach","Bayesian",116,"title: comprehensive decision analytical modelling in economic evaluation: a bayesian approach    keywords: bayesian [@cooper_comprehensive_2004]","title: comprehensive decision analytical modelling in economic evaluation: a bayesian approach    keywords: bayesian","[@cooper_comprehensive_2004]"
"yokota_value_2004","Value of information literature analysis: a review of applications in health risk management","Decision Analysis",303,"title: value of information literature analysis: a review of applications in health risk management  abstract: this article provides the first comprehensive review of value of information (voi) analyses related to health risk management published in english in peer-reviewed journals by the end of 2001. [@yokota_value_2004]","title: value of information literature analysis: a review of applications in health risk management  abstract: this article provides the first comprehensive review of value of information (voi) analyses related to health risk management published in english in peer-reviewed journals by the end of 2001.","[@yokota_value_2004]"
"yokota_value_2004","Value of information literature analysis: a review of applications in health risk management","General Methodology",164,"voi analysis represents a decision analytic technique that explicitly evaluates the benefit of collecting additional information to reduce or eliminate uncertainty. [@yokota_value_2004]","voi analysis represents a decision analytic technique that explicitly evaluates the benefit of collecting additional information to reduce or eliminate uncertainty.","[@yokota_value_2004]"
"yokota_value_2004","Value of information literature analysis: a review of applications in health risk management","General Methodology",320,"through a content analysis of voi applications, this article characterizes various attributes of voi applications, shows the evolution of the methodology and advances in computing tools that allow analysis of increasingly complex problems, and suggests the need for some standardization of reporting methods and results. [@yokota_value_2004]","through a content analysis of voi applications, this article characterizes various attributes of voi applications, shows the evolution of the methodology and advances in computing tools that allow analysis of increasingly complex problems, and suggests the need for some standardization of reporting methods and results.","[@yokota_value_2004]"
"yokota_value_2004","Value of information literature analysis: a review of applications in health risk management","General Methodology",223,"the authors’ analysis shows a lack of cross-fertilization across topic areas and the tendency of articles to focus on demonstrating the usefulness of the voi approach rather than applications to actual management decisions. [@yokota_value_2004]","the authors’ analysis shows a lack of cross-fertilization across topic areas and the tendency of articles to focus on demonstrating the usefulness of the voi approach rather than applications to actual management decisions.","[@yokota_value_2004]"
"mussi_putting_2004","Putting value of information theory into practice: a methodology for building sequential decision support systems","Decision Analysis",176,"title: putting value of information theory into practice: a methodology for building sequential decision support systems      annotation: export date: 05 may 2024; cited by: 15 [@mussi_putting_2004]","title: putting value of information theory into practice: a methodology for building sequential decision support systems      annotation: export date: 05 may 2024; cited by: 15","[@mussi_putting_2004]"
"yokota_value_2004-1","Value of information analysis in environmental health risk management decisions: past, present, and future","Decision Analysis",147,"title: value of information analysis in environmental health risk management decisions: past, present, and future    keywords: read cw  annotation: [@yokota_value_2004-1]","title: value of information analysis in environmental health risk management decisions: past, present, and future    keywords: read cw  annotation:","[@yokota_value_2004-1]"
"shih_bayesian_2003","Bayesian approach in pharmacoeconomics: relevance to decision-makers","Bayesian",148,"title: bayesian approach in pharmacoeconomics: relevance to decision-makers    keywords: bayesian  annotation: export date: 05 may 2024; cited by: 6 [@shih_bayesian_2003]","title: bayesian approach in pharmacoeconomics: relevance to decision-makers    keywords: bayesian  annotation: export date: 05 may 2024; cited by: 6","[@shih_bayesian_2003]"
"ades_expected_2004","Expected value of sample information calculations in medical decision modeling","Decision Analysis",330,"title: expected value of sample information calculations in medical decision modeling  abstract: there has been an increasing interest in using expected value of information (evi) theory in medical decision making, to identify the need for further research to reduce uncertainty in decision and as a tool for sensitivity analysis. [@ades_expected_2004]","title: expected value of sample information calculations in medical decision modeling  abstract: there has been an increasing interest in using expected value of information (evi) theory in medical decision making, to identify the need for further research to reduce uncertainty in decision and as a tool for sensitivity analysis.","[@ades_expected_2004]"
"ades_expected_2004","Expected value of sample information calculations in medical decision modeling","Simulation",289,"this article derives simple monte carlo, or nested monte carlo, methods that extend the use of evsi calculations to medical decision applications with multiple sources of uncertainty, with particular attention to the form in which epidemiological data and research findings are structured. [@ades_expected_2004]","this article derives simple monte carlo, or nested monte carlo, methods that extend the use of evsi calculations to medical decision applications with multiple sources of uncertainty, with particular attention to the form in which epidemiological data and research findings are structured.","[@ades_expected_2004]"
"ades_expected_2004","Expected value of sample information calculations in medical decision modeling","General Methodology",219,"in particular, information on key decision parameters such as treatment efficacy are invariably available on measures of relative efficacy such as risk differences or odds ratios, but not on model parameters themselves. [@ades_expected_2004]","in particular, information on key decision parameters such as treatment efficacy are invariably available on measures of relative efficacy such as risk differences or odds ratios, but not on model parameters themselves.","[@ades_expected_2004]"
"ades_expected_2004","Expected value of sample information calculations in medical decision modeling","General Methodology",193,"in addition, estimates of model parameters and of relative effect measures in the literature may be heterogeneous, reflecting additional sources of variation besides statistical sampling error. [@ades_expected_2004]","in addition, estimates of model parameters and of relative effect measures in the literature may be heterogeneous, reflecting additional sources of variation besides statistical sampling error.","[@ades_expected_2004]"
"ades_expected_2004","Expected value of sample information calculations in medical decision modeling","Simulation",272,"the authors describe monte carlo procedures for calculating evsi for probability, rate, or continuous variable parameters in multiparameter decision models and approximate methods for relative measures such as risk differences, odds ratios, risk ratios, and hazard ratios. [@ades_expected_2004]","the authors describe monte carlo procedures for calculating evsi for probability, rate, or continuous variable parameters in multiparameter decision models and approximate methods for relative measures such as risk differences, odds ratios, risk ratios, and hazard ratios.","[@ades_expected_2004]"
"ades_expected_2004","Expected value of sample information calculations in medical decision modeling","Bayesian",257,"where prior evidence is based on a random effects meta-analysis, the authors describe different esvi calculations, one relevant for decisions concerning a specific patient group and the other for decisions concerning the entire population of patient groups. [@ades_expected_2004]","where prior evidence is based on a random effects meta-analysis, the authors describe different esvi calculations, one relevant for decisions concerning a specific patient group and the other for decisions concerning the entire population of patient groups.","[@ades_expected_2004]"
"ades_expected_2004","Expected value of sample information calculations in medical decision modeling","General Methodology",157,"they also consider evsi methods for new studies intended to update information on both baseline treatment efficacy and the relative efficacy of 2 treatments. [@ades_expected_2004]","they also consider evsi methods for new studies intended to update information on both baseline treatment efficacy and the relative efficacy of 2 treatments.","[@ades_expected_2004]"
"ades_expected_2004","Expected value of sample information calculations in medical decision modeling","Bayesian",170,"although there are restrictions regarding models with prior correlation between parameters, these methods can be applied to the majority of probabilistic decision models. [@ades_expected_2004]","although there are restrictions regarding models with prior correlation between parameters, these methods can be applied to the majority of probabilistic decision models.","[@ades_expected_2004]"
"yokota_improving_2003","Improving value of information analysis in health risk management","Decision Analysis",72,"title: improving value of information analysis in health risk management [@yokota_improving_2003]","title: improving value of information analysis in health risk management","[@yokota_improving_2003]"
"lee_need_2003","The need for evolution in healthcare decision modeling","General Methodology",61,"title: the need for evolution in healthcare decision modeling [@lee_need_2003]","title: the need for evolution in healthcare decision modeling","[@lee_need_2003]"
"labiosa_decision_2003","A decision analysis approach to {TMDL} implementation decisions: mercury {TMDLs} in the {San} {Francisco} bay area","General Methodology",121,"title: a decision analysis approach to {tmdl} implementation decisions: mercury {tmdls} in the {san} {francisco} bay area [@labiosa_decision_2003]","title: a decision analysis approach to {tmdl} implementation decisions: mercury {tmdls} in the {san} {francisco} bay area","[@labiosa_decision_2003]"
"vanness_knowing_2003","Knowing what you don't know: bayesian approaches to uncertainty in economic evaluations","Bayesian",116,"title: knowing what you don't know: bayesian approaches to uncertainty in economic evaluations    keywords: bayesian [@vanness_knowing_2003]","title: knowing what you don't know: bayesian approaches to uncertainty in economic evaluations    keywords: bayesian","[@vanness_knowing_2003]"
"bum_kim_multicriteria_2003","Multicriteria bayesian analysis of lower trophic level uncertainties and value of research in lake erie","Bayesian",132,"title: multicriteria bayesian analysis of lower trophic level uncertainties and value of research in lake erie    keywords: bayesian [@bum_kim_multicriteria_2003]","title: multicriteria bayesian analysis of lower trophic level uncertainties and value of research in lake erie    keywords: bayesian","[@bum_kim_multicriteria_2003]"
"claxton_pilot_2004","A pilot study of value of information analysis to support research recommendations for the national institute for clinical excellence","Decision Analysis",140,"title: a pilot study of value of information analysis to support research recommendations for the national institute for clinical excellence [@claxton_pilot_2004]","title: a pilot study of value of information analysis to support research recommendations for the national institute for clinical excellence","[@claxton_pilot_2004]"
"chilcott_role_2003","The role of modelling in prioritising and planning clinical trials","Bayesian",73,"title: the role of modelling in prioritising and planning clinical trials [@chilcott_role_2003]","title: the role of modelling in prioritising and planning clinical trials","[@chilcott_role_2003]"
"weinstein_principles_2003","Principles of good practice for decision analytic modeling in health-care evaluation: report of the {ISPOR} task force on good research practices—modeling studies","General Methodology",169,"title: principles of good practice for decision analytic modeling in health-care evaluation: report of the {ispor} task force on good research practices—modeling studies [@weinstein_principles_2003]","title: principles of good practice for decision analytic modeling in health-care evaluation: report of the {ispor} task force on good research practices—modeling studies","[@weinstein_principles_2003]"
"shin_benchmarks_2023","Benchmarks and algorithms for offline preference-based reward learning","General Methodology",77,"title: benchmarks and algorithms for offline preference-based reward learning [@shin_benchmarks_2023]","title: benchmarks and algorithms for offline preference-based reward learning","[@shin_benchmarks_2023]"
"skiter_system_2022","System approach to the creation of cybersecurity centers of critical infrastructure","General Methodology",90,"title: system approach to the creation of cybersecurity centers of critical infrastructure [@skiter_system_2022]","title: system approach to the creation of cybersecurity centers of critical infrastructure","[@skiter_system_2022]"
"marttonen-arola_modeling_2022","Modeling the wasted value of data in maintenance investments","General Methodology",67,"title: modeling the wasted value of data in maintenance investments [@marttonen-arola_modeling_2022]","title: modeling the wasted value of data in maintenance investments","[@marttonen-arola_modeling_2022]"
"clemen_combining_1999","Combining probability distributions from experts in risk analysis","General Methodology",72,"title: combining probability distributions from experts in risk analysis [@clemen_combining_1999]","title: combining probability distributions from experts in risk analysis","[@clemen_combining_1999]"
"peterman_decision_1999","Decision analysis: a method for taking uncertainties into account in risk-based decision making","General Methodology",102,"title: decision analysis: a method for taking uncertainties into account in risk-based decision making [@peterman_decision_1999]","title: decision analysis: a method for taking uncertainties into account in risk-based decision making","[@peterman_decision_1999]"
"morgan_policy_1998","Policy analysis for decision-making about climate change","General Methodology",63,"title: policy analysis for decision-making about climate change [@morgan_policy_1998]","title: policy analysis for decision-making about climate change","[@morgan_policy_1998]"
"brennan_modelling_2000","Modelling in health economic evaluation: what is its place? {What} is its value?","General Methodology",66,"title: modelling in health economic evaluation: what is its place? [@brennan_modelling_2000]","title: modelling in health economic evaluation: what is its place?","[@brennan_modelling_2000]"
"virtanen_modeling_1998","Modeling pilot decision making by an influence diagram","General Methodology",61,"title: modeling pilot decision making by an influence diagram [@virtanen_modeling_1998]","title: modeling pilot decision making by an influence diagram","[@virtanen_modeling_1998]"
"williams_towards_2000","Towards a model of decision-making for systems requirements engineering process management","General Methodology",97,"title: towards a model of decision-making for systems requirements engineering process management [@williams_towards_2000]","title: towards a model of decision-making for systems requirements engineering process management","[@williams_towards_2000]"
"daim_framework_2009","A framework for technology assessment: case of a thai building material manufacturer","General Methodology",91,"title: a framework for technology assessment: case of a thai building material manufacturer [@daim_framework_2009]","title: a framework for technology assessment: case of a thai building material manufacturer","[@daim_framework_2009]"
"cox_introduction_2009","Introduction to engineering risk analysis","General Methodology",48,"title: introduction to engineering risk analysis [@cox_introduction_2009]","title: introduction to engineering risk analysis","[@cox_introduction_2009]"
"council_toward_2009","Toward a unified approach to dose-response assessment","General Methodology",60,"title: toward a unified approach to dose-response assessment [@council_toward_2009]","title: toward a unified approach to dose-response assessment","[@council_toward_2009]"
"collins_early_2009","Early warning: a people-centred approach to early warning systems and the'last mile'","General Methodology",91,"title: early warning: a people-centred approach to early warning systems and the'last mile' [@collins_early_2009]","title: early warning: a people-centred approach to early warning systems and the'last mile'","[@collins_early_2009]"
"cilliers_framework_2009","A framework for improving the quality of management information","General Methodology",70,"title: a framework for improving the quality of management information [@cilliers_framework_2009]","title: a framework for improving the quality of management information","[@cilliers_framework_2009]"
"chen_analysis_2009","Analysis and design of earthquake relief virtual logistic information system","General Methodology",83,"title: analysis and design of earthquake relief virtual logistic information system [@chen_analysis_2009]","title: analysis and design of earthquake relief virtual logistic information system","[@chen_analysis_2009]"
"carrasco-gallego_framework_2009","A framework for closed-loop supply chains of reusable articles","General Methodology",69,"title: a framework for closed-loop supply chains of reusable articles [@carrasco-gallego_framework_2009]","title: a framework for closed-loop supply chains of reusable articles","[@carrasco-gallego_framework_2009]"
"cane_analyzing_2009","Analyzing the factors that affect information systems use: a task-technology fit meta-analysis","General Methodology",101,"title: analyzing the factors that affect information systems use: a task-technology fit meta-analysis [@cane_analyzing_2009]","title: analyzing the factors that affect information systems use: a task-technology fit meta-analysis","[@cane_analyzing_2009]"
"cai_improving_2009","Improving supply chain performance management: a systematic approach to analyzing iterative {KPI} accomplishment","General Methodology",119,"title: improving supply chain performance management: a systematic approach to analyzing iterative {kpi} accomplishment [@cai_improving_2009]","title: improving supply chain performance management: a systematic approach to analyzing iterative {kpi} accomplishment","[@cai_improving_2009]"
"burch_quantitative_2009","A quantitative analysis of the effects of organizational, leadership, and membership characteristics on information technology adoption in nonprofit church-based organizations","General Methodology",182,"title: a quantitative analysis of the effects of organizational, leadership, and membership characteristics on information technology adoption in nonprofit church-based organizations [@burch_quantitative_2009]","title: a quantitative analysis of the effects of organizational, leadership, and membership characteristics on information technology adoption in nonprofit church-based organizations","[@burch_quantitative_2009]"
"brotby_information_2009","Information security governance: a practical development and implementation approach","General Methodology",91,"title: information security governance: a practical development and implementation approach [@brotby_information_2009]","title: information security governance: a practical development and implementation approach","[@brotby_information_2009]"
