date,bibref,method_category,sentence
2008,konishiEssaysEconomicsInformation2008,No specific method identified,Essays on Economics of Information in Environmental Management
2008,lindheIntegratedProbabilisticRisk2008,Probabilistic Methods,Integrated and Probabilistic Risk Analysis of Drinking Water Systems
2008,lunnMetadataElementsPreferred2008,No specific method identified,Metadata Elements Preferred in Searching and Assessing Relevance of Archived Television Broadcast by Scholars and Students in Media Studies: Towards the Design of Surrogate Records
2008,madanEvidencebasedDecisionanalyticMedicine2008,No specific method identified,From Evidence-Based to Decision-Analytic Medicine: A Mammography Case Study
2008,marshallInformationUseClinical2008,No specific method identified,Information Use in Clinical Practice: A Case Study of Critical Care Nurses' Enteral Feeding Decisions
2008,mazumdarGeographicInformationSystems2008,No specific method identified,Geographic Information Systems in the Application of Precision Agriculture for Sustainable Sugarcane Production in the Republic of Panama
2008,mazurEnvironmentEconomicsResearch2008,No specific method identified,Environment Economics Research Hub Research Reports
2008,mchughDetailedFieldInvestigation2008,No specific method identified,Detailed Field Investigation of Vapor Intrusion Processes
2008,melnickStatisticsNewYork2008,No specific method identified,"Statistics New York University New York, Ny"
2008,moseleyCasebasedExplorationTask2008,No specific method identified,A Case-Based Exploration of Task/Technology Fit in a Knowledge Management Context
2008,obermaierManagementAccountingResearch2008,No specific method identified,Management Accounting Research in the Lab--Method and Applications
2008,oecdSpaceTechnologiesClimate2008,No specific method identified,"Space Technologies and Climate Change: Implications for Water Management, Marine Resources and Maritime Transport"
2008,parkOperatingRoomFuture2008,No specific method identified,Operating Room of the Future: Advanced Technologies in Safe and Efficient Operating Rooms
2008,patilPerformanceAnalysisSupply2008,No specific method identified,Performance Analysis of Supply Chain through Analytical Network Process
2008,pecarinaCreatingAgentBased2008,No specific method identified,Creating an Agent Based Framework to Maximize Information Utility
2008,pekkanenCentreEnvironmentalHealth2008,Probabilistic Methods,Centre for Environmental Health Risk Analysis 2002-2007 I-II: Final Report for the Finnish Programme for Centres of Excellence in Research
2008,proustEvaluationPalmerComrie2008,No specific method identified,Evaluation of the Palmer and Comrie Reform Agenda--Including Related Ombudsman Reports
2008,ramEnterpriseResourcePlanning2008,No specific method identified,Enterprise Resource Planning (ERP) Innovation Process: Towards Development of an Integrated Framework for Successful Adoption and Implementation
2008,saripalliDemandEstimationManufacturerretailer2008,No specific method identified,Demand Estimation at Manufacturer-Retailer Duo: A Macro-Micro Approach
2008,scoonesInternationalResponseHighly2008,No specific method identified,"The International Response to Highly Pathogenic Avian Influenza: Science, Policy and Politics"
2008,shivaniJustHowNew2008,No specific method identified,Just How New Is the Terror Paradigm?
2008,skardaOperationalizingOffensiveSocial2008,No specific method identified,Operationalizing Offensive Social Engineering for the Air Force
2008,svenssonPossibilitiesModellingSustainability2008,No specific method identified,Possibilities for Modelling Sustainability Scenarios
2008,swartStakeholderEvaluationMarket2008,No specific method identified,Stakeholder Evaluation of Market Based Approaches towards Managing the Adverse Impacts of Commercial Fishing on the Marine Environment
2008,syrettReviewEconomicAssessment2008,No specific method identified,Review of Economic Assessment and Strategy Activity at the Local and Sub-Regional Level
2008,takaiDecisionanalyticSystemConcept2008,No specific method identified,A Decision-Analytic System Concept Selection for a Public Project
2008,taylorHarnessingKnowledgeEnsure2008,No specific method identified,Harnessing Knowledge to Ensure Food Safety: Opportunities to Improve the Nation's Food Safety Information Infrastructure
2008,thomasOntologyCentricArchitecture2008,No specific method identified,An Ontology Centric Architecture for Mediating Interactions In Semantic Web-Based E-commerce Environments
2008,thornleyDevelopmentMissionAbstraction2008,Probabilistic Methods,Development of a Mission Abstraction Requirements Structure (MARS) and Stochastic Modelling for Sensing Service-Driven Mission Performance Prediction
2008,velcuDriversERPSystems2008,No specific method identified,Drivers of ERP Systems Business Value
2008,veritasSemicolonStateArt2008,No specific method identified,Semicolon: State of the Art
2008,watkissReviewMethodologicalApproaches2008,No specific method identified,Review of the Methodological Approaches Available for Setting UK Carbon Budgets. RMP/4850
2008,websterUncertaintyGreenhouseEmissions2008,No specific method identified,Uncertainty in Greenhouse Emissions and Costs of Atmospheric Stabilization
2008,wilberEffectRainfallAmount2008,No specific method identified,The Effect of Rainfall Amount on the Spatial Structure of Hillslope Sediment Production in Wanale Watershed; Uganda
2008,zawaidehElicitingPreferencesSequentially2008,No specific method identified,Eliciting Preferences Sequentially Using Partially Observable Markov Decision Processes
2009,ahamedComputationalFrameworkKnowledge2009,No specific method identified,Computational Framework for Knowledge: Integrated Behavior of Machines
2009,alexanderStudyIndividualOrganizational2009,No specific method identified,A Study of the Individual and Organizational Characteristics Influencing Event Planner's Perception on Information Content and Channel Choice
2009,andersonOrganizationalCapabilitiesPredictors2009,No specific method identified,Organizational Capabilities as Predictors of Effective Knowledge Management: An Empirical Examination
2009,arielInteractivityCognitionValue2009,No specific method identified,"Interactivity, Cognition, and Value of Informationinteractive Information Exchanges in Online-Mediated Enviornments"
2009,artmannValueInformationUpdating2009,No specific method identified,The Value of Information Updating in New Product Development
2009,azuaSocialFactorInnovate2009,No specific method identified,"The Social Factor: Innovate, Ignite, and Win through Mass Collaboration and Social Networking"
2009,basiliObservatoryInformationLiteracy2009,No specific method identified,The Observatory on Information Literacy Policies and Research in Europe
2009,baskaradaInformationQualityManagement2009,No specific method identified,Information Quality Management Capability Maturity Model
2009,bellResearchHealthPolicy2009,No specific method identified,Research for Health Policy
2009,bhattacharjyaDecisionCircuitsGraphical2009,Decision Trees and Networks,Decision Circuits: A Graphical Representation for Efficient Decision Analysis Computation
2009,bickelAnalysisClimateEngineering2009,No specific method identified,An Analysis of Climate Engineering as a Response to Climate Change
2009,brotbyInformationSecurityGovernance2009,No specific method identified,Information Security Governance: A Practical Development and Implementation Approach
2009,broughtonAssociationFoodborneQuinolonenonsusceptible2009,No specific method identified,The Association between Foodborne Quinolone-Nonsusceptible Salmonella and Hospitalized Salmonellosis Cases in China
2009,brynjolfssonWiredInnovationHow2009,No specific method identified,Wired for Innovation: How Information Technology Is Reshaping the Economy
2009,burchQuantitativeAnalysisEffects2009,No specific method identified,"A Quantitative Analysis of the Effects of Organizational, Leadership, and Membership Characteristics on Information Technology Adoption in Nonprofit Church-Based Organizations"
2009,burnsDeadlyDecisionsHow2009,No specific method identified,"Deadly Decisions: How False Knowledge Sank the Titanic, Blew up the Shuttle, and Led America into War"
2009,cendrowskiEnterpriseRiskManagement2009,No specific method identified,"Enterprise Risk Management and COSO: A Guide for Directors, Executives and Practitioners"
2009,chewInformationTechnologyStrategy2009,No specific method identified,Information Technology Strategy and Management: Best Practices
2009,chungKnowledgeManagementSystems2009,No specific method identified,"Knowledge Management Systems: Linking Contribution, Refinement and Use"
2009,clarkePerformancePoliticsBritish2009,No specific method identified,Performance Politics and the British Voter
2009,colinoImprovingAccuracyOutlook2009,No specific method identified,Improving the Accuracy of Outlook Price Forecasts: An Application to Livestock Markets
2009,councilSocioeconomicEffectsPublic2009,No specific method identified,The Socioeconomic Effects of Public Sector Information on Digital Networks: Toward a Better Understanding of Different Access and Reuse Policies: Workshop Summary
2009,crossWorldDisastersReport2009,No specific method identified,"World Disasters Report: Focus on Early Warning, Early Action. 2009"
2009,davisEnsuringInformationAssets2009,No specific method identified,Ensuring Information Assets Protection
2009,denfordAlignmentKnowledgeStrategies2009,No specific method identified,The Alignment of Knowledge Strategies
2009,dillonMoveMeaningfulInternet2009,No specific method identified,"On the Move to Meaningful Internet Systems: OTM 2009: Confederated International Conferences, CoopIS, DOA, IS, and ODBASE 2009, Vilamoura, Portugal, November 1-6, 2009, Proceedings"
2009,dudekCollaborativePlanningSupply2009,No specific method identified,Collaborative Planning in Supply Chains: A Negotiation-Based Approach
2009,durandAmniocentesisDilemmaNeeds2009,No specific method identified,"Amniocentesis Dilemma: Needs Assessment, Development and Field-Testing of a Theory-Based Decision Support Intervention"
2009,ephraimSurpriseAttackVictims2009,No specific method identified,"Surprise Attack: The Victim's Perspective, with a New Preface"
2009,evansDigitalLibraryEconomics2009,No specific method identified,Digital Library Economics: An Academic Perspective
2009,francisDevelopmentEvaluationInteractive2009,No specific method identified,Development and Evaluation of an Interactive Booklet for Use in Primary Care Consultations with Children with Respiratory Tract Infections
2009,fullerStudentEngagementGraduate2009,No specific method identified,Student Engagement in Graduate Theological Education
2009,ganoulisRiskAnalysisWater2009,Probabilistic Methods,Risk Analysis of Water Pollution
2009,gretencordOutreachEngagementActornetworktheory2009,No specific method identified,From Outreach to Engagement: An Actor-Network-Theory Analysis of Attracting Spanish-Speaking Participants to Public Programming
2009,guptaSocialHumanElements2009,No specific method identified,Social and Human Elements of Information Security: Emerging Trends and Countermeasures
2009,hallBritishExpeditionaryForce2009,No specific method identified,The British Expeditionary Force and Communications on the Western Front 1914-1918
2009,helbigThinkingPerformanceIndicators2009,No specific method identified,Thinking beyond Performance Indicators: A Holistic Study of Organizational Information Use
2009,hepworthTeachingInformationLiteracy2009,No specific method identified,Teaching Information Literacy for Inquiry-Based Learning
2009,hillFrameworkValuingQuality2009,No specific method identified,A Framework for Valuing the Quality of Customer Information
2009,hsuUsingKnowledgeEncoded2009,No specific method identified,Using Knowledge Encoded in Graphical Disease Models to Support Context-Sensitive Visualization of Medical Data
2009,isikIntegratedProbabilitybasedApproach2009,Optimization Methods,An Integrated Probability-Based Approach for Multiple Response Surface Optimization
2009,jeonImpactOrganizationalJustice2009,No specific method identified,The Impact of Organizational Justice and Job Security on Organizational Commitment Exploring the Mediating Effect of Trust in Top Management
2009,jonesStudyDecisionAnalysis2009,Decision Trees and Networks,A Study of Decision Analysis Methods in Aerospace Technology Assessments
2009,karhadePatternsInformationTechnology2009,No specific method identified,Patterns in Information Technology Portfolio Decision Making: An Inductive Approach
2009,katsioloudesStrategicManagement2009,No specific method identified,Strategic Management
2009,kelkarManagementInformationSystems2009,No specific method identified,Management Information Systems: A Concise Study 2Nd Ed
2009,kellarInformationSystemsConcise2009,No specific method identified,Information Systems: A Concise Study
2009,kohInformationCommunicationTechnologies2009,No specific method identified,Information and Communication Technologies Management in Turbulent Business Environments
2009,koivistoMobileInformationSystem2009,No specific method identified,Mobile Information System Adoption and Use: Beliefs and Attitudes in Mobile Context
2009,kollerProbabilisticGraphicalModels2009,Probabilistic Methods,Probabilistic Graphical Models: Principles and Techniques
2009,kumaraguruPhishguruSystemEducating2009,No specific method identified,Phishguru: A System for Educating Users about Semantic Attacks
2009,landwehrPoliticalConflictPolitical2009,No specific method identified,"Political Conflict and Political Preferences: Communicative Interaction between Facts, Norms and Interests"
2009,leeWhySmallMedium2009,No specific method identified,Why Do Small to Medium Sized Software Firms Stay in Strategic Partnerships? An Empirical Investigation of Three Theoretical Perspectives \& Identification of an Emerging Theory
2009,lewisiiiIdentifyingCriticalDimensions2009,No specific method identified,Identifying Critical Dimensions That Shape the Business and Information Technology Alignment Process: A Case Study of a University
2009,lindqvistEngenderingGroupSupport2009,No specific method identified,Engendering Group Support Based Foresight for Capital Intensive Manufacturing Industries-Case Paper and Steel Industry Scenarios by 2018
2009,liverpoolUsingAssetPoverty2009,No specific method identified,"Using Asset Poverty Measures to Understand Poverty Dynamics, Poverty Traps and Farmer Behavior in Sub-Saharan Africa: A Focus on Rural Ethiopia"
2009,malhotraHospitalManagementEvaluation2009,No specific method identified,Hospital Management: An Evaluation
2009,marshIntegratedOrganisationDesign2009,Bayesian Methods,Integrated Organisation Design: The New Strategic Priority for HR Directors
2009,maryanchykEconomicsInformationNew2009,No specific method identified,The Economics of Information in the New Economy: A Study of DVD Rental Demand and the Value of the Netflix DVD Ratings System
2009,massonLegalStrategiesHow2009,No specific method identified,Legal Strategies: How Corporations Use Law to Improve Performance
2009,matusGreenChemistryStudy2009,No specific method identified,Green Chemistry: A Study of Innovation for Sustainable Development
2009,mcdougalRTIPracticePractical2009,No specific method identified,RTI in Practice: A Practical Guide to Implementing Effective Evidence-Based Interventions in Your School
2009,mckinneySubstituteCostsMethod2009,No specific method identified,Substitute Costs: A Method for Determining Ecological Service Values in Stormwater Management
2009,mcleanAutonomyConsentLaw2009,No specific method identified,"Autonomy, Consent and the Law"
2009,mestrovicDispersionMeaningFading2009,No specific method identified,Dispersion of Meaning: The Fading out of the Doctrinaire World?
2009,millerGeographicDataMining2009,No specific method identified,Geographic Data Mining and Knowledge Discovery
2009,morrisonEnvironmentalInformationSystems2009,No specific method identified,Environmental Information Systems: A Challenge to Meet Corporate Environmental Strategy in the South African Mining Industry
2009,mulkiEffectsLeadershipAuthority2009,No specific method identified,The Effects of Leadership and Authority on Cross-Boundary Information Sharing in Response to Public Health Crises: A Comparative Study between the United States and Jordan
2009,mullenIntegratedMultidisciplinaryApproach2009,No specific method identified,An Integrated Multidisciplinary Approach to the Design of Therapeutic Devices for People with Mental Illness and Pervasive Developmental Disorders
2009,muller-langerCreatingRandDIncentives2009,No specific method identified,"Creating RandD Incentives for Medicines for Neglected Diseases: An Economic Analysis of Parallel Imports, Patents, and Alternative Mechanisms to Stimulate Pharmaceutical Research"
2009,neumannUsingCosteffectivenessAnalysis2009,No specific method identified,Using Cost-Effectiveness Analysis to Improve Health Care: Opportunities and Barriers
2009,organizationPrinciplesModellingDoseresponse2009,No specific method identified,Principles for Modelling Dose-Response for the Risk Assessment of Chemicals
2009,organizationRiskCharacterizationMicrobiological2009,No specific method identified,Risk Characterization of Microbiological Hazards in Food: Guidelines
2009,pandeyRoleInformationSystem,No specific method identified,Role of Information System and Improved Business Decisions
2009,pandyaForestVisualMaterial2009,No specific method identified,In the Forest: Visual and Material Worlds of Andamanese History (1858-2006)
2009,parmigianiDecisionTheoryPrinciples2009,No specific method identified,Decision Theory: Principles and Approaches
2009,perryCIMAOfficialLearning2009,No specific method identified,CIMA Official Learning System Enterprise Operations
2009,pestalUsingQualitativeRisk2009,Bayesian Methods,Using Qualitative Risk Evaluations to Prioritize Resource Assessment Activities for Fraser River Sockeye
2009,phillipsProposedMethodDetermine2009,No specific method identified,A Proposed Method to Determine Confidence in a Construction Schedule
2009,pietersCancerPatienttoCancer2009,No specific method identified,From `Cancer Patient'to `Cancer Survivor': Older Breast Cancer Survivors in Transition
2009,ploofReadThisFirst2009,No specific method identified,Read This First: The Executive's Guide to New Media-from Blogs to Social Networks
2009,rajalaDeterminantsBusinessModel2009,No specific method identified,Determinants of Business Model Performance in Software Firms
2009,rasmusListeningFutureWhy2009,No specific method identified,Listening to the Future: Why It's Everybody's Business
2009,readITValueNetwork2009,No specific method identified,The IT Value Network: From IT Investment to Stakeholder Value
2009,reddyMarketingResearch2009,No specific method identified,Marketing Research
2009,reinertStudyingDevelopmentConceptions2009,No specific method identified,Studying the Development Conceptions of a New Company and Associated Information System Using the STIN Strategy
2009,richardsonCorrelationallyAssessingRelationship2009,No specific method identified,Correlationally Assessing the Relationship of Information Technology Investments in Electronic Medical Records to Business Value
2009,richmanEssaysPrivateOrdering2009,No specific method identified,"Essays in Private Ordering: Mechanisms, Efficiencies, and the Law"
2009,sarsfieldDataGovernanceImperative2009,No specific method identified,The Data Governance Imperative
2009,savageFlawAveragesWhy2009,No specific method identified,The Flaw of Averages: Why We Underestimate Risk in the Face of Uncertainty
2009,schickedanzAssessingImprovingValue2009,No specific method identified,Assessing and Improving Value in Cancer Care: Workshop Summary
2009,shepherdOilFieldProduction2009,No specific method identified,Oil Field Production Geology: AAPG Memoir 91
2009,simonsComparisonTwoCommon2009,No specific method identified,A Comparison of Two Common Classification Procedures for Economical Urban Land Cover Mapping Using NAIP Imagery
2009,singhEfficientMatrixModels2009,No specific method identified,Efficient Matrix Models for Relational Learning
2009,smithNewModelTrust2009,No specific method identified,A New Model for Trust and Reputation: Learning about Competence and Commitment
2009,smithPerspectivePaperClimate2009,No specific method identified,A Perspective Paper on Climate Engineering as a Response to Climate Change
2009,steynUseCorporateBusiness2009,No specific method identified,The Use of Corporate Business Incubators in the Knowledge Economy
2009,sunderDeterminantsCustomerSatisfaction2009,No specific method identified,Determinants of Customer Satisfaction in Perceived Outsourced Help-Desk Services in the Personal Computing Industry
2009,tatilEffectsTasksInformationseeking2009,No specific method identified,Effects of Tasks on Information-Seeking Behavior in a Police Work Environment in the Context of Criminal Intelligence
2009,tennantTeachingLearningResearch2009,No specific method identified,"Teaching, Learning and Research in Higher Education: A Critical Approach"
2009,thaliVirtopsyApproach3D2009,No specific method identified,The Virtopsy Approach: 3D Optical and Radiological Scanning and Reconstruction in Forensic Medicine
2009,tysonSocialMarketingEnvironmental2009,No specific method identified,Social Marketing Environmental Issues
2009,vangrinsvenImprovingOperationalRisk2009,No specific method identified,Improving Operational Risk Management
2009,vermaBusinessProcessManagement2009,No specific method identified,Business Process Management: Profiting from Process
2009,watkinsSistersHopeLooking2009,No specific method identified,"Sisters of Hope, Looking Back, Stepping Forward: The Educational Experiences of African-American Women"
2009,wiidMarketingResearch2009,No specific method identified,Marketing Research
2009,wizemannSystemsResearchEvaluation2009,No specific method identified,Systems for Research and Evaluation for Translating Genome-Based Discoveries for Health: Workshop Summary
2009,woodwardCausalityPharmacovigilanceExpectedness2009,No specific method identified,Causality in Pharmacovigilance and Expectedness of Adverse Reactions
2009,balnavesClassicsReasoningInformation2009,No specific method identified,Classics in Reasoning about Information and Its Ownership
2009,chouStrategicITInvestment2009,No specific method identified,Strategic IT Investment Decisions
2009,councilDesignRiskAssessments2009,No specific method identified,The Design of Risk Assessments
2009,councilUnifiedApproachDoseresponse2009,No specific method identified,Toward a Unified Approach to Dose-Response Assessment
2009,mullinCorporateCrime2009,No specific method identified,Corporate Crime
2009,salzbergerAdvancingUnderstandingConstruct2009,No specific method identified,Advancing the Understanding of Construct Validity and Cross-National Comparability: Illustrated by a Five-Country Study of Corporate Export Information Usage
2009,schwartzHealthServicesResearch2009,No specific method identified,Health Services Research: Translating Discovery and Research into Practice and Policy
2009,acharyaAbbottThomasIll2009,No specific method identified,"Abbott, Thomas a., Ill"
2009,adamsCharlesDiceCenter2009,No specific method identified,Charles a. Dice Center for Research in Financial Economics
2009,aokiInformationArchitectureDesign2009,No specific method identified,Information Architecture Design for the Electricity Distribution Network
2009,assessmentScienceDecisionsAdvancing2009,No specific method identified,Science and Decisions: Advancing Risk Assessment
2009,associationInformationOutlookJuly2009,No specific method identified,"Information Outlook, July/August 2009"
2009,austenInformAwareness2009,No specific method identified,Inform Awareness
2009,barclayExploratoryEvaluationThree2009,No specific method identified,An Exploratory Evaluation of Three IS Project Performance Measurement Methods
2009,berbersSupportContextdrivenApplications2009,No specific method identified,Support for Context-Driven Applications in Ambient Intelligence Environments
2009,boeseInformationNeedsSocioeconomically2009,No specific method identified,Information Needs of Socioeconomically Disadvantaged Parents
2009,boffBlendingDecisionDesign2009,No specific method identified,Blending Decision and Design Science with Information Systems Design as a Means to Optimizing Business Decisions
2009,bohringerTechnologicalChangeUncertainty2009,No specific method identified,Technological Change and Uncertainty in Environmental Economics
2009,britschgiD42Utilisation2009,No specific method identified,D4. 2 Utilisation of Advanced Information by Private End Users
2009,bucklePressureGroupsMMP2009,No specific method identified,Pressure Groups under MMP: A Study of Behaviour and Influence
2009,burns21stCenturyDefense2009,No specific method identified,21st Century Defense
2009,cetinkayaBilateralGovernanceOutsourced2009,No specific method identified,Bilateral Governance in Outsourced Services: Interorganizational Dynamics and Consequences
2009,checkisCreationImplementationPlan2009,No specific method identified,"Creation and Implementation Plan for a Sales Engineering Minor at California Polytechnic University, San Luis Obispo"
2009,chenAnalysisDesignEarthquake2009,No specific method identified,Analysis and Design of Earthquake Relief Virtual Logistic Information System
2009,cibrelusSummaryClimateInformation2009,No specific method identified,"Summary of the Climate Information for Public Health Training Course: Palisades, New York. June 1-12, 2009"
2009,collinsEarlyWarningPeoplecentred2009,No specific method identified,Early Warning: A People-Centred Approach to Early Warning Systems and the'last Mile'
2009,coronaInformationAwarenessInn2009,No specific method identified,Information S Awareness: An Inn
2009,cortsInducingInformationProvision2009,No specific method identified,Inducing Information Provision through Competition Policy: Prohibitions on False and Unsubstantiated Claims
2009,councilComputationalTechnologyEffective2009,No specific method identified,Computational Technology for Effective Health Care: Immediate Steps and Strategic Directions
2009,councilReviewFederalStrategy2009,No specific method identified,"Review of the Federal Strategy for Nanotechnology-Related Environmental, Health, and Safety Research"
2009,councilScienceDecisionsAdvancing2009,No specific method identified,Science and Decisions: Advancing Risk Assessment
2009,cristinaSeriesIndex2009,No specific method identified,Series Index
2009,daustAdaptiveManagementFramework2009,No specific method identified,Adaptive Management Framework for the Central and North Coast of British Columbia Adaptive Management Guidebook
2009,dixonIndependentScienceAdvisory2009,No specific method identified,Independent Science Advisory Committee (ISAC)
2009,falck-zepedaSocioeconomicConsiderationsArticle2009,No specific method identified,"Socio-Economic Considerations, Article 26.1 of the Cartagena Protocol on Biosafety: What Are the Issues and What Is at Stake?"
2009,freyRoleEfficiencyAnalysis2009,No specific method identified,The Role of Efficiency Analysis in Legislative Reforms in Switzerland
2009,gallardobobadillaModelingRiskMultistate2009,No specific method identified,Modeling Risk of a Multi-State Repairable Component
2009,garrattDp2009152009,No specific method identified,Dp2009/15
2009,ghorishiEcommerceAdoptionModel2009,No specific method identified,E-Commerce Adoption Model in Iranian SME's: Investigating the Causal Link between Perceived Strategic Value of e-Commerce \& Factor of Adoption
2009,goetschalckxUseDomainKnowledge2009,No specific method identified,The Use of Domain Knowledge in Reinforcement Learning (Het Gebruik van Domeinkennis in Reinforcement Learning)
2009,greecePrepublicationVersion2009,No specific method identified,Pre-Publication Version
2009,haverkosBenefitDesignMedicare2009,No specific method identified,Benefit Design of Medicare Drug Plans: An Analysis of Ohio and the National Landscape from 2006 through 2009
2009,heeksCompendiumImpactAssessment2009,No specific method identified,Compendium on Impact Assessment of ICT-for-development Projects
2009,howellIntakeDecisionMaking2009,No specific method identified,"Intake Decision Making in Child Protective Services: Exploring the Influence of Decision-Factors, Race, and Substance Abuse"
2009,huangTopManagersNew2009,No specific method identified,"Top Manager's New IT Championing Behavior, Exam the Roles of Personality, Ability and Belief"
2009,ilic1BiographicalData2009,No specific method identified,1. Biographical Data 1. A Current Employment
2009,jamesAmendingChinasAir2009,No specific method identified,Amending China's Air Pollution Prevention and Control Law: Recommendations from the International Experience
2009,johnstonImprovingEcologicalValidity2009,No specific method identified,Improving the Ecological Validity of Non-Market Valuation
2009,jonesAnalysisImpactInformation2009,No specific method identified,An Analysis of the Impact of Information Systems on the Level of Trust in the Construction Industry
2009,kavehHowCollaborativeLogistics2009,No specific method identified,How Collaborative Logistics Management Increases Supply Chain Efficiency
2009,kimComparativePerformanceMeasurement2009,No specific method identified,Comparative Performance Measurement: Safety
2009,klannRoleInformationTechnology2009,No specific method identified,The Role of Information Technology in the Airport Business: A Retail-Weighted Resource Management Approach for Capacity-Constrained Airports
2009,kouskyRespondingThreatsClimate2009,No specific method identified,Responding to Threats of Climate Change Mega-Catastrophes
2009,lempinenBuildingMetricsAssessing2009,No specific method identified,Building Metrics for Assessing the Business Value of Electronic Order-to-Payment Cycle
2009,longworthMRCNICEScopingProject2009,Bayesian Methods,MRC-NICE Scoping Project: Identifying the National Institute for Health and Clinical Excellence's Methodological Research Priorities and an Initial Set of Priorities
2009,lubbersActivistIntelligenceCovert2009,No specific method identified,"Activist Intelligence and Covert Corporate Strategy, an Analysis of Corporate Spying on Critical Activists"
2009,luoResearchChoiceLogistic2009,Multi-Criteria Decision Analysis,The Research on the Choice of Logistic Mode by AHP for M Company
2009,mcdonaldGreeningInformationManagement2009,No specific method identified,Greening Information Management
2009,mcmahonDevelopmentSetPrinciples2009,No specific method identified,The Development of a Set of Principles for Through-Life Management of Engineering Information
2009,meldaTenIssuesStates2009,No specific method identified,Ten Issues for States to Consider in Implementing Individual or Level-Based Budget Allocations
2009,microbiologicalriskasRiskCharacterizationMicrobiological2009,No specific method identified,Risk Characterization of Microbiological Hazards in Food
2009,mirakhorRecentCrisisLessons2009,No specific method identified,The Recent Crisis: Lessons for Islamic Finance
2009,mosesMaMajorResearch2009,No specific method identified,Ma Major Research Paper
2009,mosStrategicPlanImplementation2009,No specific method identified,Strategic Plan for the Implementation of WMO's World Weather Research Programme (WWRP): 2009-2017
2009,njengaConceptualisingImprovisationInformation2009,No specific method identified,Conceptualising Improvisation in Information Security Risk Management Activities: A South Africa Case Study
2009,organizationProtectingHealthClimate2009,Bayesian Methods,Protecting Health from Climate Change: Global Research Priorities
2009,parkAnalysisAntecedentsVideo2009,No specific method identified,The Analysis of Antecedents for the Video Telephony Service Adoption: From the Value-Based Perspective
2009,payneTPMTTestingAzathioprine2009,No specific method identified,TPMT Testing in Azathioprine: A `Cost-Effective Use of Healthcare Resources'?
2009,petersBayesianReanalysesHealth2009,Bayesian Methods,Bayesian Re-Analyses of Health Technology Assessments: Evaluation of Modelling Assumptions
2009,phaalRoadmappingBibliography2009,No specific method identified,Roadmapping Bibliography
2009,ramananControlTechniquesComplex2009,No specific method identified,Control Techniques for Complex Networks
2009,ready-to-useSupplyChainAnalysis2009,No specific method identified,A Supply Chain Analysis of Ready-to-Use Therapeutic Foods for the Horn of Africa
2009,richmondExploratoryEvaluationThree2009,No specific method identified,An Exploratory Evaluation of Three Is Project Performance Measurement Methods
2009,santacatarinaSahgaumAlgoritmoGenetico2009,No specific method identified,Sahga-Um Algoritmo Gen\'etico H\'ibrido Com Representacao Expl\'icita de Relacionamentos Espaciais Para Analise de Dados Geoespaciais
2009,schimkowitschKeyComponentsInformation2009,No specific method identified,Key Components of an Information Security Metrics Program Plan
2009,schuurmanPostprojectEvaluationIT2009,No specific method identified,Post-Project Evaluation of IT Business Cases: The Case of an Energy Supply Company
2009,shittuInvestmentsEnergyTechnological2009,No specific method identified,Investments in Energy Technological Change under Uncertainty
2009,sjarbainiKnowledgeDynamicsOrganizational2009,No specific method identified,The Knowledge Dynamics of Organizational Innovation
2009,smithDevelopingIndividualBudgets2009,No specific method identified,Developing Individual Budgets and Reimbursement Levels Using the Supports Intensity Scale
2009,strandersCoordinatingTeamsMobile2009,No specific method identified,Coordinating Teams of Mobile Sensors for Monitoring Environmental Phenomena
2009,tainioMethodsUncertaintiesAssessment2009,No specific method identified,Methods and Uncertainties in the Assessment of the Health Effects of Fine Particulate Matter (PM2. 5) Air Pollution
2009,tuEvaluatingEffectivenessTelepresence2009,No specific method identified,Evaluating the Effectiveness of Telepresence in Cultural Tourism Websites: Panoramic Virtual Tours for the Promotion of Tourism and Cultural Identity in Taiwan
2009,vermaDoesInternalizingRegulating2009,No specific method identified,Does Internalizing the Regulating Services Alter the Poverty-Ecosystem Dynamics? Evidences from Poverty Hotspot of South Asia
2009,wangResearchSupplyChain2009,No specific method identified,Research on the Supply Chain Inventory Management to GeN Garment Co. Ltd
2009,winpennyInvestingInformationKnowledge2009,No specific method identified,"Investing in Information, Knowledge and Monitoring"
2009,zhangSeriesIndex2009,No specific method identified,Series Index
2009,abe1stAnnualMeeting2009,No specific method identified,"1st Annual Meeting of NGFN-plus and NGFN-transfer in the Programm of Medical Genome Research, 12th-13th December 2008 at Helmholtz Zentrum M\""unchen. Helmholtz Zentrum M\""unchen, 390 S.(2008)"
2009,achenbachAbiatariEspositoOliveira2009,No specific method identified,"Abiatari, I., Esposito, I., Oliveira, T. de, Felix, K., Xin, H., Penzel, R., Giese, T., Friess, H. \& Kleeff, J.: Moesin Dependent Cytoskeleton Remodeling Is Associated with an Anaplastic Phenotype of Pancreatic Cancer. J. Cell. Mol. Med"
2009,adelmanAbbottThomas2009,No specific method identified,"Abbott, Thomas a"
2009,ahlmann-ohlsenComparisonTwoApproaches2009,Decision Trees and Networks,Influence diagrams and decision trees represent the two most common frameworks for specifying and solving decision problems
2009,apsBalticSeaRegional2009,No specific method identified,Baltic Sea Regional Advisory Council as a Hybrid Management Framework for Sustainable Fisheries
2009,assessmentRisk2009,No specific method identified,Risk In
